"Days","Large","8x-Large","16x-Large"
1,19.843889474868774,21.102578163146973,28.873249053955078
2,26.52269802093506,27.052589416503906,38.1935601234436
5,33.84308314323425,30.39964199066162,39.683544874191284
10,67.0027425289154,44.37664031982422,49.1817102432251
20,135.3618037700653,90.79879975318909,91.4886212348938
30,205.19414973258972,136.26020336151123,135.950133562088
60,,254.3527011871338,
90,,380.7557899951935,
120,,443.6593589782715,

