"Days","Large","6x-Large"
1, 19.843889474868774, 21.102578163146973
2, 26.52269802093506, 27.052589416503906
5, 33.84308314323425, 30.39964199066162
10, 67.0027425289154, 44.37664031982422
20, 135.3618037700653, 90.79879975318909
30, 205.19414973258972, 136.26020336151123
